track_number,track_titles
1,Fortnight (feat. Post Malone) | Fortnight (feat. Post Malone) | Welcome To New York (Taylor's Version) | Welcome To New York (Taylor's Version) | Mine (Taylor's Version) | Lavender Haze | Lavender Haze | Lavender Haze | State Of Grace (Taylor's Version) | Fearless (Taylor’s Version) | willow | willow | the 1 | the 1 - the long pond studio sessions | the 1 | the 1 | I Forgot That You Existed | ...Ready For It? | All Too Well | Welcome To New York | Welcome To New York
2,The Tortured Poets Department | The Tortured Poets Department | Blank Space (Taylor's Version) | Blank Space (Taylor's Version) | Sparks Fly (Taylor’s Version) | Maroon | Maroon | Maroon | Red (Taylor's Version) | Fifteen (Taylor’s Version) | champagne problems | champagne problems | cardigan | cardigan - the long pond studio sessions | cardigan | cardigan | Cruel Summer | End Game | Wildest Dreams | Blank Space | Blank Space
3,My Boy Only Breaks His Favorite Toys | My Boy Only Breaks His Favorite Toys | Style (Taylor's Version) | Style (Taylor's Version) | Back To December (Taylor's Version) | Anti-Hero | Anti-Hero | Anti-Hero | Treacherous (Taylor's Version) | Love Story (Taylor’s Version) | gold rush | gold rush | the last great american dynasty | the last great american dynasty - the long pond studio sessions | the last great american dynasty | the last great american dynasty | Lover | I Did Something Bad | The Best Day | Style | Style
4,Down Bad | Down Bad | Out Of The Woods (Taylor's Version) | Out Of The Woods (Taylor's Version) | Speak Now (Taylor's Version) | Snow On The Beach (feat. Lana Del Rey) | Snow On The Beach (feat. Lana Del Rey) | Snow On The Beach (feat. Lana Del Rey) | I Knew You Were Trouble (Taylor's Version) | Hey Stephen (Taylor’s Version) | ‘tis the damn season | ‘tis the damn season | exile (feat. Bon Iver) | exile (feat. Bon Iver) - the long pond studio sessions | exile (feat. Bon Iver) | exile (feat. Bon Iver) | The Man | Don’t Blame Me | Red | Out Of The Woods | Out Of The Woods
5,"So Long, London | So Long, London | All You Had To Do Was Stay (Taylor's Version) | All You Had To Do Was Stay (Taylor's Version) | Dear John (Taylor's Version) | You're On Your Own, Kid | You're On Your Own, Kid | You're On Your Own, Kid | All Too Well (Taylor's Version) | White Horse (Taylor’s Version) | tolerate it | tolerate it | my tears ricochet | my tears ricochet - the long pond studio sessions | my tears ricochet | my tears ricochet | The Archer | Delicate | Holy Ground | All You Had To Do Was Stay | All You Had To Do Was Stay"
6,"But Daddy I Love Him | But Daddy I Love Him | Shake It Off (Taylor's Version) | Shake It Off (Taylor's Version) | Mean (Taylor's Version) | Midnight Rain | Midnight Rain | Midnight Rain | 22 (Taylor's Version) | You Belong With Me (Taylor’s Version) | no body, no crime (feat. HAIM) | no body, no crime (feat. HAIM) | mirrorball | mirrorball - the long pond studio sessions | mirrorball | mirrorball | I Think He Knows | Look What You Made Me Do | Teardrops On My Guitar - Radio Single Remix | Shake It Off | Shake It Off"
7,Fresh Out The Slammer | Fresh Out The Slammer | I Wish You Would (Taylor's Version) | I Wish You Would (Taylor's Version) | The Story Of Us (Taylor's Version) | Question...? | Question...? | Question...? | I Almost Do (Taylor's Version) | Breathe (feat. Colbie Caillat) (Taylor’s Version) | happiness | happiness | seven | seven - the long pond studio sessions | seven | seven | Miss Americana & The Heartbreak Prince | So It Goes... | Our Song | I Wish You Would | I Wish You Would
8,Florida!!! (feat. Florence + The Machine) | Florida!!! (feat. Florence + The Machine) | Bad Blood (Taylor's Version) | Bad Blood (Taylor's Version) | Never Grow Up (Taylor's Version) | Vigilante Shit | Vigilante Shit | Vigilante Shit | We Are Never Ever Getting Back Together (Taylor's Version) | Tell Me Why (Taylor’s Version) | dorothea | dorothea | august | august - the long pond studio sessions | august | august | Paper Rings | Gorgeous | 22 | Bad Blood | Bad Blood
9,Guilty as Sin? | Guilty as Sin? | Wildest Dreams (Taylor's Version) | Wildest Dreams (Taylor's Version) | Enchanted (Taylor's Version) | Bejeweled | Bejeweled | Bejeweled | Stay Stay Stay (Taylor's Version) | You’re Not Sorry (Taylor’s Version) | coney island (feat. The National) | coney island (feat. The National) | this is me trying | this is me trying - the long pond studio sessions | this is me trying | this is me trying | Cornelia Street | Getaway Car | I Knew You Were Trouble. | Wildest Dreams | Wildest Dreams
10,Who’s Afraid of Little Old Me? | Who’s Afraid of Little Old Me? | How You Get The Girl (Taylor's Version) | How You Get The Girl (Taylor's Version) | Better Than Revenge (Taylor's Version) | Labyrinth | Labyrinth | Labyrinth | The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version) | The Way I Loved You (Taylor’s Version) | ivy | ivy | illicit affairs | illicit affairs - the long pond studio sessions | illicit affairs | illicit affairs | Death By A Thousand Cuts | King Of My Heart | I Don’t Wanna Live Forever (Fifty Shades Darker) | How You Get The Girl | How You Get The Girl
